speaker,text,label
KATH, What did you want to do after this test.,React.Rejoinder.Confront.Challenge.Rebound
NATH, That's it I guess.,React.Rejoinder.Support.Response.Resolve
KATH,You gonna study some more tomorrow then right ?,React.Rejoinder.Support.Track.Confirm
NATH, Oh definitely.,React.Respond.Support.Reply.Affirm
KATH, Okay.,React.Respond.Support.Register
KATH, Ex plus four over three ex minus two is less than zero.,Open.Initiate.Give.Fact
NATH, Is less than zero.,React.Respond.Support.Register
KATH, Right.,React.Respond.Support.Reply.Affirm
NATH,Gosh.,React.Respond.Support.Register
NATH, Is this the. Is this the same class I'm taking Kathy.,React.Rejoinder.Support.Track.Confirm
NATH,Are you sure we're doing work from the same class that I'm. that I'm. that I go to every night.,React.Rejoinder.Support.Track.Confirm
KATH, I don't know.,React.Respond.Confront.Reply.Disawow
KATH, Are we ?,React.Rejoinder.Confront.Challenge.Rebound
KATH, It's got the same name but that's about it.,React.Rejoinder.Confront.Challenge.Counter
KATH,Okay.,React.Respond.Support.Register
NATH, I don't even know how you start this one,React.Respond.Support.Develop.Extend
NATH,do you ?,React.Rejoinder.Support.Track.Confirm
KATH, Yeah I think so,React.Respond.Support.Reply.Affirm
KATH,but I'm not sure.,Sustain.Continue.Prolong.Extend
KATH,Cause the way I start it.,Sustain.Continue.Prolong.Enhance
NATH,Do I. Did I have anything written on the test ?,React.Rejoinder.Confront.Challenge.Rebound
KATH,Mm.,React.Respond.Support.Register
NATH, I left it blank ?,React.Rejoinder.Support.Track.Clarify
